Latitude,Longitude,Degree,DateTime,Image Index
-19.8576603333333,-43.9800835555556,90.0,2022:08:24 08:48:33, _Pampulha_2022-08-24_0000SET_000_DJI_4461.TIF
-19.8577189722222,-43.9801316111111,89.9,2022:08:24 08:48:34, _Pampulha_2022-08-24_0000SET_000_DJI_4471.TIF
-19.8577428333333,-43.9801518611111,89.9,2022:08:24 08:48:35, _Pampulha_2022-08-24_0000SET_000_DJI_4481.TIF
-19.85774075,-43.9801495833333,90.0,2022:08:24 08:48:36, _Pampulha_2022-08-24_0000SET_000_DJI_4491.TIF
-19.8577435833333,-43.9801418888889,89.9,2022:08:24 08:48:37, _Pampulha_2022-08-24_0000SET_000_DJI_4501.TIF
-19.8577649166667,-43.9800962222222,89.9,2022:08:24 08:48:39, _Pampulha_2022-08-24_0000SET_000_DJI_4511.TIF
-19.8577944722222,-43.9800201666667,90.0,2022:08:24 08:48:40, _Pampulha_2022-08-24_0000SET_000_DJI_4521.TIF
-19.8578353888889,-43.9799204722222,89.9,2022:08:24 08:48:42, _Pampulha_2022-08-24_0000SET_000_DJI_4531.TIF
-19.8579213888889,-43.9797154444444,90.0,2022:08:24 08:48:45, _Pampulha_2022-08-24_0000SET_000_DJI_4541.TIF
-19.8580178611111,-43.97947975,90.0,2022:08:24 08:48:49, _Pampulha_2022-08-24_0000SET_000_DJI_4551.TIF
-19.8584906944444,-43.9783301111111,90.0,2022:08:24 08:49:08, _Pampulha_2022-08-24_0000SET_000_DJI_4601.TIF
-19.8585672777778,-43.9781454722222,90.0,2022:08:24 08:49:11, _Pampulha_2022-08-24_0000SET_000_DJI_4611.TIF
-19.8586186666667,-43.9780268055556,89.9,2022:08:24 08:49:13, _Pampulha_2022-08-24_0000SET_000_DJI_4621.TIF
-19.8586614444444,-43.9779270555556,89.9,2022:08:24 08:49:14, _Pampulha_2022-08-24_0000SET_000_DJI_4631.TIF
-19.8587091388889,-43.977809,89.9,2022:08:24 08:49:16, _Pampulha_2022-08-24_0000SET_000_DJI_4641.TIF
-19.8587471666667,-43.9777159444444,90.0,2022:08:24 08:49:18, _Pampulha_2022-08-24_0000SET_000_DJI_4651.TIF
-19.8587793611111,-43.9776349722222,90.0,2022:08:24 08:49:19, _Pampulha_2022-08-24_0000SET_000_DJI_4661.TIF
-19.8587946111111,-43.9775950833333,90.0,2022:08:24 08:49:20, _Pampulha_2022-08-24_0000SET_000_DJI_4671.TIF
-19.8587936388889,-43.9776003333333,89.9,2022:08:24 08:49:22, _Pampulha_2022-08-24_0000SET_000_DJI_4681.TIF
-19.8588161666667,-43.977584,90.0,2022:08:24 08:49:23, _Pampulha_2022-08-24_0000SET_000_DJI_4691.TIF
-19.8588879444444,-43.9775352777778,90.0,2022:08:24 08:49:25, _Pampulha_2022-08-24_0000SET_000_DJI_4701.TIF
-19.8589863055556,-43.9774628055556,89.9,2022:08:24 08:49:27, _Pampulha_2022-08-24_0000SET_000_DJI_4711.TIF
-19.8590739722222,-43.9774000555556,90.0,2022:08:24 08:49:29, _Pampulha_2022-08-24_0000SET_000_DJI_4721.TIF
-19.8596711111111,-43.9769763333333,89.9,2022:08:24 08:49:40, _Pampulha_2022-08-24_0000SET_000_DJI_4731.TIF
-19.8598856388889,-43.9768274444444,90.0,2022:08:24 08:49:44, _Pampulha_2022-08-24_0000SET_000_DJI_4741.TIF
-19.86000225,-43.9767449166667,90.0,2022:08:24 08:49:46, _Pampulha_2022-08-24_0000SET_000_DJI_4751.TIF
-19.8601554444444,-43.9766373611111,89.9,2022:08:24 08:49:49, _Pampulha_2022-08-24_0000SET_000_DJI_4761.TIF
-19.8603496388889,-43.9764988888889,89.9,2022:08:24 08:49:53, _Pampulha_2022-08-24_0000SET_000_DJI_4771.TIF
-19.8606406944444,-43.9762981111111,90.0,2022:08:24 08:49:59, _Pampulha_2022-08-24_0000SET_000_DJI_4781.TIF
-19.86100325,-43.9760376388889,90.0,2022:08:24 08:50:06, _Pampulha_2022-08-24_0000SET_000_DJI_4791.TIF
-19.8611560555556,-43.9759293333333,89.9,2022:08:24 08:50:08, _Pampulha_2022-08-24_0000SET_000_DJI_4801.TIF
-19.8612351666667,-43.9758737777778,90.0,2022:08:24 08:50:10, _Pampulha_2022-08-24_0000SET_000_DJI_4811.TIF
-19.8613296111111,-43.9758065277778,90.0,2022:08:24 08:50:12, _Pampulha_2022-08-24_0000SET_000_DJI_4821.TIF
-19.8614283333333,-43.9757370277778,89.9,2022:08:24 08:50:14, _Pampulha_2022-08-24_0000SET_000_DJI_4831.TIF
-19.8615640833333,-43.9756407777778,90.0,2022:08:24 08:50:16, _Pampulha_2022-08-24_0000SET_000_DJI_4841.TIF
