Degree,Image Index
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5561.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5571.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5581.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5591.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5601.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5611.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5621.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5631.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5641.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5651.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5661.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5671.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5681.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5691.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5701.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5711.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5721.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5731.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5741.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5751.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5761.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5771.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5781.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5791.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5801.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5811.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5821.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5831.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5841.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5851.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5861.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5871.TIF
89.9, _Campo220512-Pampulha_0001SET_000_DJI_5881.TIF
90.0, _Campo220512-Pampulha_0001SET_000_DJI_5891.TIF
