Latitude,Longitude,DateTime,Image Index
-18.7052798,-45.1903234,2021:05:05 16:35:24, _Campo2021-05-TM_0002SET_000_IMG_0031
-18.7061938,-45.1899405,2021:05:05 16:35:36, _Campo2021-05-TM_0002SET_000_IMG_0036
-18.7059142,-45.1902159,2021:05:05 16:35:50, _Campo2021-05-TM_0002SET_000_IMG_0041
-18.705096,-45.1908188,2021:05:05 16:36:01, _Campo2021-05-TM_0002SET_000_IMG_0046
-18.7041998,-45.1915027,2021:05:05 16:36:12, _Campo2021-05-TM_0002SET_000_IMG_0051
-18.7034718,-45.1923508,2021:05:05 16:36:25, _Campo2021-05-TM_0002SET_000_IMG_0056
-18.704131,-45.1919584,2021:05:05 16:36:42, _Campo2021-05-TM_0002SET_000_IMG_0061
-18.7057069,-45.1907485,2021:05:05 16:36:59, _Campo2021-05-TM_0002SET_000_IMG_0066
-18.7064329,-45.1902007,2021:05:05 16:37:08, _Campo2021-05-TM_0002SET_000_IMG_0071
-18.7073118,-45.1895895,2021:05:05 16:37:19, _Campo2021-05-TM_0002SET_000_IMG_0076
-18.7081646,-45.1892579,2021:05:05 16:37:30, _Campo2021-05-TM_0002SET_000_IMG_0081
-18.7074313,-45.1898063,2021:05:05 16:37:48, _Campo2021-05-TM_0002SET_000_IMG_0086
-18.706597,-45.1904332,2021:05:05 16:37:58, _Campo2021-05-TM_0002SET_000_IMG_0091
-18.7056994,-45.1911148,2021:05:05 16:38:09, _Campo2021-05-TM_0002SET_000_IMG_0096
-18.704944,-45.1916954,2021:05:05 16:38:18, _Campo2021-05-TM_0002SET_000_IMG_0101
-18.7039795,-45.1924294,2021:05:05 16:38:30, _Campo2021-05-TM_0002SET_000_IMG_0106
-18.7039006,-45.1928663,2021:05:05 16:38:46, _Campo2021-05-TM_0002SET_000_IMG_0111
-18.7046877,-45.1922675,2021:05:05 16:38:57, _Campo2021-05-TM_0002SET_000_IMG_0116
-18.7064468,-45.1909026,2021:05:05 16:39:20, _Campo2021-05-TM_0002SET_000_IMG_0121
-18.7070809,-45.1904266,2021:05:05 16:39:30, _Campo2021-05-TM_0002SET_000_IMG_0126
-18.7081186,-45.1896386,2021:05:05 16:39:40, _Campo2021-05-TM_0002SET_000_IMG_0131
-18.7089482,-45.1890392,2021:05:05 16:39:50, _Campo2021-05-TM_0002SET_000_IMG_0136
-18.7100286,-45.1886216,2021:05:05 16:40:05, _Campo2021-05-TM_0002SET_000_IMG_0141
-18.7094581,-45.1890738,2021:05:05 16:40:17, _Campo2021-05-TM_0002SET_000_IMG_0146
-18.7085004,-45.1897751,2021:05:05 16:40:29, _Campo2021-05-TM_0002SET_000_IMG_0151
-18.7076028,-45.1904708,2021:05:05 16:40:40, _Campo2021-05-TM_0002SET_000_IMG_0156
-18.706878,-45.1910117,2021:05:05 16:40:49, _Campo2021-05-TM_0002SET_000_IMG_0161
-18.7060292,-45.1916453,2021:05:05 16:41:00, _Campo2021-05-TM_0002SET_000_IMG_0166
-18.7053381,-45.1921539,2021:05:05 16:41:09, _Campo2021-05-TM_0002SET_000_IMG_0171
-18.7044753,-45.1928058,2021:05:05 16:41:20, _Campo2021-05-TM_0002SET_000_IMG_0176
-18.7041271,-45.193428,2021:05:05 16:41:37, _Campo2021-05-TM_0002SET_000_IMG_0181
-18.7060091,-45.1920003,2021:05:05 16:42:02, _Campo2021-05-TM_0002SET_000_IMG_0186
-18.7070409,-45.1912136,2021:05:05 16:42:14, _Campo2021-05-TM_0002SET_000_IMG_0191
-18.7077867,-45.1906773,2021:05:05 16:42:23, _Campo2021-05-TM_0002SET_000_IMG_0196
-18.7085627,-45.1901139,2021:05:05 16:42:33, _Campo2021-05-TM_0002SET_001_IMG_0201
-18.7093242,-45.1895654,2021:05:05 16:42:42, _Campo2021-05-TM_0002SET_001_IMG_0206
-18.7101786,-45.1889447,2021:05:05 16:42:53, _Campo2021-05-TM_0002SET_001_IMG_0211
-18.7111234,-45.1883378,2021:05:05 16:43:05, _Campo2021-05-TM_0002SET_001_IMG_0216
-18.7118709,-45.1880477,2021:05:05 16:43:15, _Campo2021-05-TM_0002SET_001_IMG_0221
-18.7110474,-45.188652,2021:05:05 16:43:31, _Campo2021-05-TM_0002SET_001_IMG_0226
-18.7101462,-45.1893212,2021:05:05 16:43:43, _Campo2021-05-TM_0002SET_001_IMG_0231
-18.7092572,-45.189976,2021:05:05 16:43:54, _Campo2021-05-TM_0002SET_001_IMG_0236
-18.7084033,-45.1906233,2021:05:05 16:44:05, _Campo2021-05-TM_0002SET_001_IMG_0241
-18.7073589,-45.1914156,2021:05:05 16:44:18, _Campo2021-05-TM_0002SET_001_IMG_0246
-18.7061205,-45.1923522,2021:05:05 16:44:41, _Campo2021-05-TM_0002SET_001_IMG_0251
-18.7046696,-45.1933893,2021:05:05 16:44:53, _Campo2021-05-TM_0002SET_001_IMG_0256
-18.704392,-45.1939438,2021:05:05 16:45:04, _Campo2021-05-TM_0002SET_001_IMG_0261
-18.7050985,-45.1934222,2021:05:05 16:45:16, _Campo2021-05-TM_0002SET_001_IMG_0266
-18.7058992,-45.1928137,2021:05:05 16:45:27, _Campo2021-05-TM_0002SET_001_IMG_0271
-18.7068448,-45.1921147,2021:05:05 16:45:39, _Campo2021-05-TM_0002SET_001_IMG_0276
-18.7076697,-45.1915065,2021:05:05 16:45:49, _Campo2021-05-TM_0002SET_001_IMG_0281
-18.708507,-45.1908797,2021:05:05 16:45:59, _Campo2021-05-TM_0002SET_001_IMG_0286
-18.7093886,-45.1902288,2021:05:05 16:46:10, _Campo2021-05-TM_0002SET_001_IMG_0291
-18.7100685,-45.1897232,2021:05:05 16:46:19, _Campo2021-05-TM_0002SET_001_IMG_0296
-18.7108013,-45.1891971,2021:05:05 16:46:28, _Campo2021-05-TM_0002SET_001_IMG_0301
-18.7117023,-45.188544,2021:05:05 16:46:40, _Campo2021-05-TM_0002SET_001_IMG_0306
-18.7125189,-45.187944,2021:05:05 16:46:50, _Campo2021-05-TM_0002SET_001_IMG_0311
-18.713239,-45.187597,2021:05:05 16:46:58, _Campo2021-05-TM_0002SET_001_IMG_0316
-18.7133381,-45.1876995,2021:05:05 16:47:16, _Campo2021-05-TM_0002SET_001_IMG_0321
-18.7121239,-45.1885872,2021:05:05 16:47:31, _Campo2021-05-TM_0002SET_001_IMG_0326
-18.7111504,-45.1893298,2021:05:05 16:47:43, _Campo2021-05-TM_0002SET_001_IMG_0331
-18.7102759,-45.1900047,2021:05:05 16:47:54, _Campo2021-05-TM_0002SET_001_IMG_0336
-18.7094748,-45.1906065,2021:05:05 16:48:04, _Campo2021-05-TM_0002SET_001_IMG_0341
-18.7085336,-45.1913106,2021:05:05 16:48:16, _Campo2021-05-TM_0002SET_001_IMG_0346
-18.7076409,-45.1919535,2021:05:05 16:48:28, _Campo2021-05-TM_0002SET_001_IMG_0351
-18.706865,-45.1924991,2021:05:05 16:48:37, _Campo2021-05-TM_0002SET_001_IMG_0356
-18.7060557,-45.1931019,2021:05:05 16:48:48, _Campo2021-05-TM_0002SET_001_IMG_0361
-18.7052617,-45.1936952,2021:05:05 16:48:58, _Campo2021-05-TM_0002SET_001_IMG_0366
-18.7045518,-45.1942265,2021:05:05 16:49:10, _Campo2021-05-TM_0002SET_001_IMG_0371
-18.7054122,-45.1939314,2021:05:05 16:49:29, _Campo2021-05-TM_0002SET_001_IMG_0376
-18.7063177,-45.1932624,2021:05:05 16:49:39, _Campo2021-05-TM_0002SET_001_IMG_0381
-18.7077897,-45.1921686,2021:05:05 16:49:56, _Campo2021-05-TM_0002SET_001_IMG_0386
-18.7085676,-45.191597,2021:05:05 16:50:05, _Campo2021-05-TM_0002SET_001_IMG_0391
-18.7093852,-45.1909865,2021:05:05 16:50:15, _Campo2021-05-TM_0002SET_001_IMG_0396
-18.710272,-45.190343,2021:05:05 16:50:26, _Campo2021-05-TM_0002SET_002_IMG_0401
-18.7110275,-45.1897882,2021:05:05 16:50:36, _Campo2021-05-TM_0002SET_002_IMG_0406
-18.7118031,-45.1892279,2021:05:05 16:50:46, _Campo2021-05-TM_0002SET_002_IMG_0411
-18.712637,-45.1886232,2021:05:05 16:50:56, _Campo2021-05-TM_0002SET_002_IMG_0416
-18.713562,-45.1879446,2021:05:05 16:51:08, _Campo2021-05-TM_0002SET_002_IMG_0421
-18.7142998,-45.1873955,2021:05:05 16:51:18, _Campo2021-05-TM_0002SET_002_IMG_0426
-18.7144827,-45.1876291,2021:05:05 16:51:31, _Campo2021-05-TM_0002SET_002_IMG_0431
-18.7136671,-45.1882309,2021:05:05 16:51:42, _Campo2021-05-TM_0002SET_002_IMG_0436
-18.7127257,-45.1889247,2021:05:05 16:51:54, _Campo2021-05-TM_0002SET_002_IMG_0441
-18.7117906,-45.1896281,2021:05:05 16:52:11, _Campo2021-05-TM_0002SET_002_IMG_0446
-18.7104581,-45.190596,2021:05:05 16:52:24, _Campo2021-05-TM_0002SET_002_IMG_0451
-18.7093873,-45.1914058,2021:05:05 16:52:36, _Campo2021-05-TM_0002SET_002_IMG_0456
-18.7084843,-45.1920588,2021:05:05 16:52:47, _Campo2021-05-TM_0002SET_002_IMG_0461
-18.7076659,-45.1926601,2021:05:05 16:52:58, _Campo2021-05-TM_0002SET_002_IMG_0466
-18.7068486,-45.1932598,2021:05:05 16:53:08, _Campo2021-05-TM_0002SET_002_IMG_0471
-18.70603,-45.1938552,2021:05:05 16:53:19, _Campo2021-05-TM_0002SET_002_IMG_0476
-18.7062661,-45.1938597,2021:05:05 16:53:33, _Campo2021-05-TM_0002SET_002_IMG_0481
-18.7070624,-45.1934381,2021:05:05 16:53:44, _Campo2021-05-TM_0002SET_002_IMG_0486
-18.7078724,-45.1928328,2021:05:05 16:53:54, _Campo2021-05-TM_0002SET_002_IMG_0491
-18.7087085,-45.1922017,2021:05:05 16:54:04, _Campo2021-05-TM_0002SET_002_IMG_0496
-18.7099074,-45.1913175,2021:05:05 16:54:21, _Campo2021-05-TM_0002SET_002_IMG_0501
-18.7115071,-45.1901259,2021:05:05 16:54:39, _Campo2021-05-TM_0002SET_002_IMG_0506
-18.7122102,-45.1896065,2021:05:05 16:54:48, _Campo2021-05-TM_0002SET_002_IMG_0511
-18.7129649,-45.189032,2021:05:05 16:54:57, _Campo2021-05-TM_0002SET_002_IMG_0516
-18.7137903,-45.1884272,2021:05:05 16:55:08, _Campo2021-05-TM_0002SET_002_IMG_0521
-18.7146624,-45.1877982,2021:05:05 16:55:19, _Campo2021-05-TM_0002SET_002_IMG_0526
-18.7145051,-45.1883234,2021:05:05 16:55:34, _Campo2021-05-TM_0002SET_002_IMG_0531
-18.7137421,-45.1888861,2021:05:05 16:55:44, _Campo2021-05-TM_0002SET_002_IMG_0536
-18.7127427,-45.1896335,2021:05:05 16:55:56, _Campo2021-05-TM_0002SET_002_IMG_0541
-18.7119218,-45.1902383,2021:05:05 16:56:06, _Campo2021-05-TM_0002SET_002_IMG_0546
-18.7110778,-45.190867,2021:05:05 16:56:17, _Campo2021-05-TM_0002SET_002_IMG_0551
-18.7100733,-45.191611,2021:05:05 16:56:30, _Campo2021-05-TM_0002SET_002_IMG_0556
-18.7091636,-45.1922838,2021:05:05 16:56:41, _Campo2021-05-TM_0002SET_002_IMG_0561
-18.7080426,-45.1931199,2021:05:05 16:56:55, _Campo2021-05-TM_0002SET_002_IMG_0566
-18.7077048,-45.1933852,2021:05:05 16:57:12, _Campo2021-05-TM_0002SET_002_IMG_0571
-18.7089528,-45.1927872,2021:05:05 16:57:22, _Campo2021-05-TM_0002SET_002_IMG_0576
-18.7098355,-45.1921491,2021:05:05 16:57:33, _Campo2021-05-TM_0002SET_002_IMG_0581
-18.7108014,-45.1914158,2021:05:05 16:57:46, _Campo2021-05-TM_0002SET_002_IMG_0586
-18.7116729,-45.190762,2021:05:05 16:57:57, _Campo2021-05-TM_0002SET_002_IMG_0591
-18.7125554,-45.190102,2021:05:05 16:58:08, _Campo2021-05-TM_0002SET_002_IMG_0596
-18.7134099,-45.1894543,2021:05:05 16:58:18, _Campo2021-05-TM_0002SET_003_IMG_0601
-18.7142352,-45.1888366,2021:05:05 16:58:29, _Campo2021-05-TM_0002SET_003_IMG_0606
-18.7149761,-45.1883145,2021:05:05 16:58:40, _Campo2021-05-TM_0002SET_003_IMG_0611
-18.7147185,-45.1888855,2021:05:05 16:58:54, _Campo2021-05-TM_0002SET_003_IMG_0616
-18.7136891,-45.1896413,2021:05:05 16:59:07, _Campo2021-05-TM_0002SET_003_IMG_0621
0.0,0.0,2021:05:05 16:59:27, _Campo2021-05-TM_0002SET_003_IMG_0626
-18.7108174,-45.1917797,2021:05:05 16:59:42, _Campo2021-05-TM_0002SET_003_IMG_0631
